Rank,English_Meaning,Language_A,Word_A,Language_B,Word_B,Similarity_Score,Pattern_Detected
12,have,en,have,ro,avea,0.750,delta: 'have' vs 'avea'
12,have,ca,tenir,es,tener,0.800,delta: 'i' vs 'e'
16,do,es,hacer,gl,facer,0.800,delta: 'h' vs 'f'
16,do,fr,faire,it,fare,0.889,delta: 'i' vs ''
21,n't,ca,Nou Testament,es,Nuevo Testamento,0.828,delta: 'ou Testament' vs 'uevo Testamento'
22,we,ca,nosaltres,es,nosotros,0.706,delta: 'altre' vs 'otro'
25,but,ca,però,es,pero,0.750,delta: 'ò' vs 'o'
25,but,ca,però,gl,pero,0.750,delta: 'ò' vs 'o'
26,they,ca,ells,es,ellos,0.889,delta: '' vs 'o'
26,they,ca,ells,gl,eles,0.750,delta: 'l' vs 'e'
26,they,ca,ells,pt,elas,0.750,delta: 'l' vs 'a'
26,they,gl,eles,pt,elas,0.750,delta: 'e' vs 'a'
27,say,es,decir,gl,dicir,0.800,delta: 'e' vs 'i'
31,from,ca,des de,es,desde,0.909,delta: ' ' vs ''
31,from,ca,des de,gl,dende,0.727,delta: 's ' vs 'n'
31,from,es,desde,gl,dende,0.800,delta: 's' vs 'n'
31,from,fr,à partir de,it,a partire dal,0.750,delta: 'à partir de' vs 'a partire dal'
31,from,fr,à partir de,pt,a partir de,0.909,delta: 'à' vs 'a'
31,from,it,a partire dal,pt,a partir de,0.833,delta: 'e dal' vs ' de'
32,go,ca,anar,it,andare,0.800,delta: 'ar' vs 'dare'
35,get,ca,aconseguir,gl,conseguir,0.947,delta: 'a' vs ''
35,get,es,obtener,it,ottenere,0.800,delta: 'btener' vs 'ttenere'
36,she,ca,ella,fr,elle,0.750,delta: 'a' vs 'e'
36,she,es,ella,fr,elle,0.750,delta: 'a' vs 'e'
38,can,es,poder,gl,pode,0.889,delta: 'r' vs ''
38,can,es,poder,it,potere,0.727,delta: 'der' vs 'tere'
39,as,es,como,it,come,0.750,delta: 'o' vs 'e'
39,as,es,como,pt,Como,0.750,delta: 'c' vs 'C'
39,as,fr,comme,it,come,0.889,delta: 'm' vs ''
39,as,gl,como,it,come,0.750,delta: 'o' vs 'e'
39,as,gl,como,pt,Como,0.750,delta: 'c' vs 'C'
40,know,ca,saber,it,sapere,0.727,delta: 'ber' vs 'pere'
40,know,es,saber,it,sapere,0.727,delta: 'ber' vs 'pere'
40,know,gl,saber,it,sapere,0.727,delta: 'ber' vs 'pere'
44,all,ca,tots,fr,tout,0.750,delta: 'ts' vs 'ut'
44,all,es,todo,gl,todos,0.889,delta: '' vs 's'
44,all,es,todo,pt,tudo,0.750,delta: 'o' vs 'u'
46,about,ca,Sobre,gl,sobre,0.800,delta: 'S' vs 's'
46,about,es,acerca de,pt,cerca de,0.941,delta: 'a' vs ''
47,their,ca,els seus,gl,os seus,0.800,delta: 'el' vs 'o'
47,their,gl,os seus,pt,seus,0.727,delta: 'os ' vs ''
48,will,es,será,fr,sera,0.750,delta: 'á' vs 'a'
50,would,es,haría,gl,faría,0.800,delta: 'h' vs 'f'
51,make,gl,facer,ro,face,0.889,delta: 'r' vs ''
52,just,en,just,fr,juste,0.889,delta: '' vs 'e'
54,think,ca,pensar,fr,pense,0.727,delta: 'ar' vs 'e'
54,think,ca,pensar,gl,pensa,0.909,delta: 'r' vs ''
54,think,ca,pensar,it,pensare,0.923,delta: '' vs 'e'
54,think,es,pensar,fr,pense,0.727,delta: 'ar' vs 'e'
54,think,es,pensar,gl,pensa,0.909,delta: 'r' vs ''
54,think,es,pensar,it,pensare,0.923,delta: '' vs 'e'
54,think,fr,pense,gl,pensa,0.800,delta: 'e' vs 'a'
54,think,fr,pense,it,pensare,0.833,delta: '' vs 'ar'
54,think,gl,pensa,it,pensare,0.833,delta: '' vs 're'
55,time,en,time,ro,timp,0.750,delta: 'e' vs 'p'
55,time,ca,temps,gl,tempo,0.800,delta: 's' vs 'o'
55,time,fr,temps,gl,tempo,0.800,delta: 's' vs 'o'
55,time,gl,tempo,pt,Tempo,0.800,delta: 't' vs 'T'
56,there,ca,allà,es,allí,0.750,delta: 'à' vs 'í'
57,see,ca,veure,it,vedere,0.727,delta: 'u' vs 'de'
57,see,it,vedere,ro,vedea,0.727,delta: 're' vs 'a'
58,her,ca,ella,pt,dela,0.750,delta: 'el' vs 'de'
58,her,es,ella,pt,dela,0.750,delta: 'el' vs 'de'
59,as,es,como,it,come,0.750,delta: 'o' vs 'e'
59,as,es,como,pt,Como,0.750,delta: 'c' vs 'C'
59,as,fr,comme,it,come,0.889,delta: 'm' vs ''
59,as,gl,como,it,come,0.750,delta: 'o' vs 'e'
59,as,gl,como,pt,Como,0.750,delta: 'c' vs 'C'
60,out,ca,fora,gl,fóra,0.750,delta: 'o' vs 'ó'
60,out,ca,fora,pt,Fora,0.750,delta: 'f' vs 'F'
62,come,ca,vine,ro,vino,0.750,delta: 'e' vs 'o'
62,come,es,venir,it,venire,0.909,delta: '' vs 'e'
63,people,ca,gent,fr,gens,0.750,delta: 't' vs 's'
63,people,es,personas,gl,persoas,0.933,delta: 'n' vs ''
63,people,es,personas,it,persone,0.800,delta: 'as' vs 'e'
63,people,es,personas,pt,pessoas,0.800,delta: 'rson' vs 'sso'
63,people,gl,persoas,it,persone,0.714,delta: 'as' vs 'ne'
63,people,gl,persoas,pt,pessoas,0.857,delta: 'r' vs 's'
64,take,ca,prendre,it,prendere,0.933,delta: '' vs 'e'
64,take,fr,prendre,it,prendere,0.933,delta: '' vs 'e'
67,them,ca,ells,es,ellos,0.889,delta: '' vs 'o'
67,them,ca,ells,gl,eles,0.750,delta: 'l' vs 'e'
67,them,ca,ells,pt,eles,0.750,delta: 'l' vs 'e'
68,some,ca,alguns,es,algunos,0.923,delta: '' vs 'o'
68,some,ca,alguns,gl,algunhas,0.857,delta: '' vs 'ha'
68,some,ca,alguns,pt,algum,0.727,delta: 'ns' vs 'm'
68,some,es,algunos,gl,algunhas,0.800,delta: 'o' vs 'ha'
